IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy
2757.559256871127,3691.311312768233,2867.713224046557,41
3520.570304828859,3441.255425181183,2911.2835871729108,41
4279.990687561297,3471.565248865652,3271.1017884999374,41
3479.972871878904,3604.1701842541756,2803.950479775164,41
3593.3619641028654,3724.4899609918257,3104.763443674301,41
3774.9707453097913,3974.3756098605213,3244.1510615290817,41
3789.804608423672,3531.486278252417,3017.53393936262,68
3213.0397986235043,3499.6499429696764,2513.7577243723244,60
3512.2583788252196,3657.2256375843144,2777.036070509301,41
3546.700541519519,3679.836138807463,2959.0163358178734,41
3674.8693086129774,3253.1980992142885,3077.4593157649865,34
3784.293073024035,3500.1000186029114,2982.457293438693,41
3764.1430509255333,3868.446526134424,3042.116006003991,41
3466.774270043769,3372.8353285162393,3186.7187818291695,60
3807.736413620507,3902.974944228993,2833.5051340061746,41
3508.3922151711727,3454.021007409267,3039.1604576231393,60
3506.3665708435287,3992.992839848729,2751.981252279992,41
3523.6654537256404,3140.8544134014437,2727.3430618594116,41
3878.8316294769024,3551.003529820133,3036.100911228307,41
3286.9642552878618,3449.1831539647014,2843.379667038538,41
3635.550432067549,4035.130414691268,3060.2195669609437,41
3889.4402056535578,3970.54374604796,3523.7098171962016,41
3685.8979898361786,3690.9829283561708,2925.657947774377,41
3737.755405735894,3329.702773679826,2620.1836425146876,41
3326.668330538424,3905.0079905882526,2861.6127244657837,41
3278.2696828416524,3466.5514392249406,2544.812659132241,68
3473.7340696280116,3860.0255039213,2840.6956706569013,68
3485.8607569839305,4105.614622159508,3379.5251075873584,41
3188.8846360304333,3740.5533268432787,2871.344599210629,51
3504.555716828433,3209.0541753777984,2704.5828358734725,41
3574.136253195903,3747.238035939567,3166.0084064181833,41
3990.1757275439954,3139.410726631439,2868.394877594993,41
3454.2834501307693,3493.870341979816,2698.1507843449167,41
3461.131247720798,3744.0318776554695,3009.8605435047775,41
3595.2575920819463,3491.8269522668948,3154.9368059917733,41
3753.555064257691,3618.0897368001247,2782.724592223916,41
3352.7050680049033,3672.2383721270926,2577.1774931355694,34
3681.2468459475626,3568.708521589498,3143.047635683173,41
3343.397206579029,3589.9037861370266,3373.356038142598,68
3664.6845209074954,4160.385489807062,3515.072410426663,41
3636.977285369713,4117.644927884895,3198.6205739948505,41
3808.677118402548,3582.4309770637697,3053.9619350935327,41
3739.6146003772633,3696.1922278002953,2693.2252568254603,68
3800.803894389643,3293.6194455061477,2998.460373443247,68
3423.9326002843322,3396.512367798681,2765.341387679559,68
3688.0975133600577,3547.510994852741,2791.4298051172245,41
3964.5898735034452,3883.9234429536723,3041.593354149121,41
3986.4599081188558,3904.8875037478238,3062.2126624011894,41
3615.384403787648,3544.3422898384124,3345.4092875120277,60
3508.3232120813486,3742.69644012934,3222.099088913282,68
3371.0902295959013,3699.2188835849583,2704.771979796477,60
3578.7329790628414,4019.5704576868097,2757.386203200538,41
3754.4036856878347,3706.688237144102,2540.9171474905534,41
3460.217790233262,3428.9620180112433,2872.6211671482047,41
3574.8338631208067,3201.4214004525766,2784.6196846003936,60
3453.9996657611505,3463.8265482734814,2657.598145444032,60
3315.191390025874,3411.5141960471055,2692.7651987430268,60
3637.0958255253963,3664.0663328923547,2519.3875508499423,41
3283.501478232667,3924.7909584780386,3157.45310279399,41
