IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy
2677.6378097818065,3460.5535550512573,3142.0935988379683,92
3799.6207670454673,3680.632415955649,3165.5753424532,43
3746.5207275026773,3316.059239760463,3074.7106189494225,32
3335.035395428994,3907.6520363437057,3438.2023594964403,11
3438.2498793688233,3520.994982194302,2932.5530622348133,66
3218.677964451348,3412.18959140027,2962.91348221295,66
3733.839673443186,3845.752076291152,3154.5646906410143,32
3548.873017641194,3164.635068073288,2888.7445472622107,29
3588.288979209568,3677.2302264568475,2803.224157238783,29
3419.323772847268,3618.0743852288515,3148.4901826340065,29
3780.916018444464,3442.240680115648,3170.6940130224,32
3283.476283578646,3230.9457556026227,3212.591437946765,29
3373.420732912043,3574.381411392782,3102.589892416836,29
3550.847490290922,3635.5620135798567,2856.808231750225,29
3508.883126300598,3541.5397614723593,2572.291296557037,32
3729.7832113235468,3358.724117521864,2584.976712558817,32
3350.3824555372767,3440.1742600945545,3092.4295825670497,40
3746.0099869543624,3727.28833641549,3518.6649899725694,29
3548.0562413469556,3578.8877414577946,2837.010601664704,32
