IpwEpsGreedy,RandomAction,opt_policy
2951.3486210781916,2892.9970698288575,12
3334.0382894264544,3017.433346946977,77
3212.08690938675,2831.14239566603,84
3532.49041863418,2809.8003404405063,84
3265.7528440707733,2977.4577186219135,84
3703.0532845745097,3250.1059809376516,77
3172.9422932623293,2513.207163993707,17
2768.228845904044,2800.836485156776,57
3744.7056351794968,3003.29206894435,84
3819.701620752334,2713.923526886073,84
3725.3315290564733,2702.034192198888,84
3764.6431444272876,2778.8010664389008,84
3161.863055517167,2946.002823997867,9
3246.318703343686,2913.653491806798,9
3504.1477681680644,3108.5678328087392,84
3649.273410239444,3075.5591021486125,84
3461.563791743402,3128.9126596300953,84
3430.726060166182,3047.221356625541,82
3792.6237041178374,2736.674883758257,84
3649.1309835811808,3418.4429127446547,82
3397.0175000423756,2714.117350121528,82
3476.0380639679142,2787.8344866776806,84
3621.0327419423047,2949.4102835475755,84
3507.939975705872,2745.0429363291623,17
3743.5747101569536,2466.4536815785495,84
3665.2070819239757,3121.698922990912,9
3295.8852672309563,3134.1986627442934,17
3606.043452505769,2932.797868348887,84
3623.1823280685985,3011.596626091524,9
3845.5519807807987,3238.650777258799,9
4029.087273457414,3170.8027352907966,82
3544.938973390699,2884.120174959976,82
3162.1014219967883,2935.7528954790746,9
3617.6451240165184,2781.135915711914,84
3959.3211428394147,3107.8683873861523,82
3877.44216029265,3038.015494409393,84
3676.654088873246,3174.8203308637,82
3544.925857830299,3159.5868950297995,84
3767.0107861203046,3163.7151939728988,82
3664.9066306031814,2816.1851145651203,82
4053.4628432390878,2911.505543211902,84
3695.309639640291,3163.6496884035955,82
3627.031497978172,2879.4672962148065,84
3473.916667896387,2894.1637398352764,84
3811.7475273270015,2938.1228292147175,9
3745.719324206707,3111.9249723776,82
3679.77332399294,3022.80289281222,9
3332.7646773752344,2737.755914644445,9
3652.872636377732,2977.7438293883497,9
3634.6291686663203,2787.3675166158782,84
3904.3714094884526,2950.577991818976,9
3433.1912936691374,3228.3512973625398,82
3608.178422207197,3165.123834411359,84
3499.776807530392,2739.139753358786,84
3483.7414034115577,3059.540901579174,82
3821.832272324897,3079.958678497942,9
3463.452168272887,2725.9086956784618,9
3713.0592458746737,2737.7894033350976,9
3694.7417436729347,2822.098685462408,9
3780.810659713814,2994.8580972253317,84
3459.8140958260524,3217.118529817547,9
3650.184400150945,2890.6008266461113,84
3202.5749332400683,2785.1827759252124,84
3533.3544232093795,2741.439965796049,84
3489.7264145121194,2870.634509872185,84
3752.8143645318664,2855.3761545627526,84
3880.098543712288,3043.711207101303,84
3408.4014610235968,3112.395195884765,84
3877.127710945575,3183.1654612807147,84
3753.377024923184,2934.25247707239,84
3918.5356170214322,2823.348731158976,84
3727.4580522438982,2943.0277435614985,84
3595.827992685627,3159.6114950476704,84
3454.815317648185,2850.223264477703,84
3642.6803661674744,3135.154787514717,84
3584.7207190000186,2540.7834862245695,84
3453.900370779347,2734.7187097199835,9
3553.4247248413335,2595.052352245018,84
3440.4990189844134,2917.067960565234,84
3647.020364849391,3328.503542700594,84
3834.804643639516,2888.843148882663,84
3301.2770749066976,2799.331879590683,82
3649.6435401031977,2737.248382872776,84
3357.3535338012707,3084.6301421031026,82
3380.9778756317505,2530.4247777932756,82
3564.098049428863,3209.0984040341473,82
3516.981367597387,3124.714773874681,9
3461.412236064668,2938.944574477023,84
3593.0633943983526,2994.8399160553495,84
3647.8094577322145,3141.1721514577953,82
3992.0315061255983,3069.176256619636,84
3903.7155278070145,3067.0997212905563,84
3703.829827395657,2821.275631564376,82
3749.3554041677726,2909.3953104142374,84
3740.4553001190397,3167.369282529401,84
3045.630028114495,2680.2624429315924,82
3656.645543322181,3039.122412802294,82
3668.3754758237856,3125.754815398566,82
3927.537873601437,3008.9520893718945,82
3367.8489184827276,2411.8300206178606,82
3667.0391045847105,3457.691912161814,84
3709.7517263469645,2770.0616722111304,84
3504.0631293123747,2949.5293531847324,84
3787.1770862230223,2962.1734536290182,17
3444.714504672101,3011.637687189806,84
3494.910335645451,2961.2852823984344,84
3798.1442586655016,3046.50032749858,84
3552.403305818699,2951.0134420003264,82
3605.8488671594473,2747.4887868891074,84
3605.032246608096,3128.834249763445,84
3988.257714612639,2927.5990927227012,84
3737.272255638037,3158.223789292561,84
3807.841450729336,2907.0723201383908,84
3692.4176366977376,2846.3617376584416,84
3791.579040804878,3003.203281149699,84
3916.196582656437,3167.3891855177535,84
3659.041430922025,3442.7843710664665,84
3809.6626607045105,2824.664463702756,82
3388.7093930172637,2956.65946503027,82
3281.228089283285,2987.8487271556683,82
3625.3543244591524,3061.377745160909,84
3472.10079848101,3051.431623163451,84
3519.733672148801,3110.3953205554058,84
