IpwEpsGreedy,IpwBootTS,RandomAction,opt_policy
3035.358543422372,3340.5983532336636,2900.2644120352356,48
3325.092701454807,3383.6066675616016,2879.9057530899117,87
3758.105394247854,3587.668157248802,3064.724962805618,48
3577.3601958403983,3764.3658063683242,3091.72307859739,25
3298.00810562941,3673.6578166455874,3034.617074634195,48
3360.279666695242,3547.974107775169,3171.761717524944,25
3433.218536411815,3307.6848833589347,2829.136025828028,25
3697.5781529748147,3924.1084891911587,3313.645043446207,48
3605.0223626876336,3258.9714041220527,2452.146446380019,25
3705.415300523545,3702.381055131239,2996.140856120254,48
3737.872118931259,3370.3099423865415,2857.138458052257,25
3577.179969329723,3606.483609288908,3018.016585987757,48
3513.640415642586,3841.5742762067084,3181.3581773837095,48
3579.022212758217,3573.884046308737,2557.3599147196774,48
3192.7092431640353,3568.0495580909096,3134.038196876345,25
3652.1520980987093,3548.857489900667,3065.662535077161,48
3421.03495932011,3365.381382869524,3046.6020399100166,48
3443.185334920043,3482.355695663014,2655.66770961422,48
3456.0891076108155,3481.7333046280332,2916.917378122423,48
3550.0152729993097,3707.9489574533127,3309.562102911584,25
3411.52727987354,3249.9996068946703,2977.394614496097,25
3670.169859207682,3212.862419429747,2875.7689026991916,81
3210.3289072494126,3855.3845975100453,2805.1376552778706,81
3930.3873874794185,3737.802652097528,2875.0297459382673,48
3481.5208762969137,3578.988432430826,2881.777822191325,25
3409.745314197798,3604.504029239438,2945.666806811874,25
3607.080028188688,3379.498491876565,3033.6398619036972,48
3736.4702757561313,3489.7987574128506,2678.1513927034894,48
3307.322272013356,3685.999348680602,3306.634466820496,25
3623.0286689230916,3506.562073757833,3159.047188537096,25
3763.4970008240493,3693.441549296895,3006.562432906362,25
3046.162461372893,3515.911997797117,2931.412049381126,48
3590.003614952094,4012.5218457698793,3002.992885463084,25
3635.75492114209,3687.3573477732775,2841.93100194753,48
3222.264188067301,3301.392589625182,2749.736159654517,25
3562.5746815222838,3579.2259302217585,3014.6717262470524,25
3738.3991778513505,3777.536107890043,3142.8374812872835,25
3319.3698645767035,3936.252940668525,3119.7327605112728,48
3129.9492920252687,3468.903670175573,2961.511149456869,48
3337.5206950728216,3514.831422417325,2969.8291796410253,25
3465.222732205632,3704.0666444656767,3154.6331700077308,48
3300.1311096300524,3736.608887674114,2789.73801724638,48
3764.9125684736678,4077.0373034049244,3171.0698811591005,48
3665.9305508084753,3825.136838423331,2680.814655235019,48
3825.511814333329,3868.4443298909364,2845.966972118855,48
3644.2683599215,3560.3013706491633,3029.170353795291,48
3768.581516755794,4019.051697919026,3314.72304197073,25
3774.737431906214,4122.033619077725,3171.152006963151,48
3970.419149397699,3250.521760345423,3002.7752785877615,48
3806.245205901088,3779.301256295146,3054.509136030429,48
3614.8309690070428,3440.903946435615,2867.36903242589,48
3556.1009678827186,3904.371444411974,3252.090394006737,48
3638.3359724077336,3724.9913152682334,2987.8299653327963,25
3551.252932026003,3797.0704499457697,3397.6366520599836,25
3611.0663541868944,3590.0362608839673,2930.8583918773497,25
3989.79379503762,3723.34060462871,3066.3808498266158,48
3602.097626791361,3743.1415703506404,2928.743228200866,48
3584.496076992012,3973.7288133057837,3084.851530052943,48
3789.512916854805,3912.6441892361845,2778.1605423392266,25
3366.59282196874,3605.5715592397614,2911.9109380787845,25
3678.9463137494286,4004.848763948743,3045.9254357519544,25
3437.942247458371,3432.826092732887,2957.083106427634,48
3397.8580240910997,3686.2638337167145,2719.234310091294,48
4057.7642806406834,3676.147765578147,3163.1763553738997,25
