IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,optimal_policy,optimal_outcome_policy
2758.583786371297,2928.7398385805623,2710.556881756702,66,4066.3505443501235,88,3504.9391299640965
3080.634350094896,3513.963667505716,2530.8101351848754,66,4449.93019538137,88,3501.8018371383837
3849.2418031883494,3795.9506386704543,3368.8705479638597,29,4348.4242244557345,36,4060.950010734879
3226.0875544932933,3358.5587375940227,2764.4541099174758,29,4261.068827889935,25,3220.6469678498506
3447.789649822299,3351.477990472884,3180.4697801131597,29,4424.626731682841,97,3583.248660648946
3116.8464809590955,3662.979463845029,2944.1524694756076,88,4444.566678767098,25,3242.537825120496
3554.3362031481524,3201.0553128617235,2761.3608757087095,29,3807.644135118515,97,3264.30470305865
2964.6262754711192,3130.56166206795,3039.202841917659,28,4226.282095561912,29,3905.908498832224
3639.0895219805843,3359.212493453141,2887.0560715183474,29,4416.079027532271,29,3457.614570655381
3394.2238366367355,3899.266309148679,3160.0752590412385,66,4456.5909727750995,29,3671.253667992262
3602.9271048753576,3516.3909639931135,3220.3823108482384,29,4442.81114460217,36,3603.184964265191
3676.6173906182394,3404.8331507961507,3026.98722702659,66,3988.0607436414716,29,3189.75515764559
3164.9296727079486,3539.552701091013,2716.0151088813077,66,3903.467447054358,29,3330.295540745549
3361.2116001692048,3227.338369357697,3004.427606121207,97,4323.8066152088995,29,3609.2928813586595
3565.3483431548984,3284.061247146596,2851.8763572207563,97,4363.44110985095,29,3565.084089763539
3276.8811671851886,3607.482994905704,3040.671890192658,97,4293.774123559207,97,3683.38318220872
3406.293170010741,3669.2518212651353,3081.8793208618067,36,4538.170963348065,36,3574.6206862703034
3559.9091659937585,3440.388310772241,2683.574337240299,29,4041.476405830821,29,3161.2623197155326
3220.2833855600556,3796.789277058886,3065.640936158656,29,4261.103119078162,29,3223.8480937536865
3481.6858476946777,3484.7596174591745,3171.2259279416135,29,4345.562128988901,29,3690.2633087832673
3488.405012800473,3536.6838690784957,2664.8952837034285,97,4307.509969329351,29,3524.1943549157963
3345.7990850327124,3373.8574545780007,2847.8873900173617,29,4173.677598549446,97,3430.8446899221285
3873.2225863164726,3273.8639604788823,2744.719398525289,97,4321.240424715902,97,3524.4765890473054
3774.490899265616,3239.165728385299,3303.0119305159706,97,4060.713359128187,29,3706.020114380578
3555.870426507584,3188.861093510972,2753.3949582274445,97,4201.759518668028,97,3513.880733854623
3439.04710711877,3362.396471266642,3182.6021044571357,29,4211.523609515177,97,3261.2567658788066
3248.004494939404,3298.3738837573637,2928.695091171941,97,4065.347289372446,29,3426.871693773645
3373.647649635812,3786.044235617912,3244.405265981629,97,4242.309896755139,29,3593.360974812189
3447.63040640738,3546.0191603689645,3103.1732319130624,36,4403.451809755155,97,3855.6356805717423
3543.8444609390176,3601.9093939483596,3019.434847194508,36,4173.925997949278,29,3409.273517558138
3303.5680663911603,3257.291446223151,2951.2315675149857,36,4047.6814002438937,29,3008.2566843739696
3535.044981619558,3587.2243252182175,2995.8190841995643,97,4348.782584427147,29,3584.167268108126
3554.1607240013896,3780.3960759120623,2900.2684876465173,97,4290.645604419366,29,3770.9422540640185
3632.7444526133786,4093.267363100577,3236.381012539653,29,4413.977348571692,29,3583.3680315939387
3135.1341791243026,3521.1591536749543,2987.2106702366927,97,4019.9635497817803,29,3522.677052178544
3335.865179282782,3901.6781229421495,3084.3031651317337,29,4270.832080943429,29,3820.1469198182854
3634.448272283224,3383.569724394352,2919.40191825148,97,4017.122199837738,36,3426.9624844037307
3271.6823451516884,3962.731309253635,3188.2564433390253,97,4352.105103001344,29,3993.157255111099
3453.8470340700987,3796.5158568005704,2476.8197717092817,97,4008.2822410308218,29,3753.4281137382773
3434.497770285818,3600.5262289980456,3015.4603176591827,36,4286.708911028301,97,3566.566884926292
3784.477480216961,3794.5048570939616,3212.7205006560807,29,4435.632343288994,29,3471.4089123026433
3752.692611067077,3384.1628631549947,2747.29757182843,97,4019.5400767602273,29,3478.844478359896
3234.1601500577663,3812.5819830515643,2929.831903597369,36,4425.371311232091,29,4120.870040561116
3451.6075699138632,3739.3583719917656,2660.558617989039,36,4267.628247828243,29,3458.399773792421
3666.3668197585607,3409.183427383069,2857.5990885470337,36,4429.501367152132,29,3596.535695237392
3239.2577300721546,3322.101761036234,2748.812671083927,97,4438.448155469339,29,3903.520947911557
3496.5818992463496,3774.4983051114837,2923.885584069259,36,4150.674810458192,29,3356.8096648964383
3325.107060650944,3476.4222796048716,2927.565019012387,97,4318.683902645596,29,3306.834194862574
3043.911261244125,3832.658188671025,2735.925422818767,97,4256.413453752816,29,3656.5776269329513
3351.7519057973773,3433.6212898600343,3098.186090046813,97,4342.737033437848,97,3537.83900560816
