IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,optimal_policy,optimal_outcome_policy
2875.7182429807763,3096.1924446298513,3048.444596389725,58,4158.888594441735,0,0
3440.468891424875,3150.0621743905235,2617.2530232859217,58,3873.8360185179367,0,0
3438.9235687318283,3194.824285377373,3331.3865346261905,85,4336.175905114367,0,0
3312.1422946703096,3782.317221949617,2812.9418042637644,58,4290.671868977154,0,0
3566.0832209508035,3224.3557067517836,2651.0937142324397,58,4267.245504911406,0,0
3469.018924379905,3118.4941976258347,3066.691410308813,85,4322.164640291888,0,0
3139.8821217344935,3928.0014983765877,3479.5291132325938,12,4501.258401105552,0,0
3442.677897934569,3587.683174395279,3452.9562604706084,58,4471.26056854318,0,0
3586.53129675892,3281.874565072295,2930.0094435945425,20,3887.3680311506787,0,0
3047.1957211021017,3438.514789346546,2768.085712870348,12,4217.30115924626,0,0
3366.2213643016553,3355.8321444431645,2924.431063867607,85,4129.063237054875,0,0
3301.000635645524,3399.728554924128,2742.8245441023387,20,4242.475299353068,0,0
3472.75717900526,3766.138875699467,3184.338861279626,12,4626.040942641461,0,0
3592.469169760272,3624.1185581068107,3338.387647874264,20,4177.807128595815,0,0
3488.8933458377733,3816.4771266860535,2978.84095855762,20,4329.372757044601,0,0
3566.075916452634,3347.9032207045757,2490.7670134464597,20,4635.825482624314,0,0
3505.995131050224,3592.9276577573787,3023.1788622569406,20,4782.311313320489,0,0
3374.044032076199,3303.166223682327,2412.8352960749057,20,3747.9174749099643,0,0
3879.3191516321317,3411.0634679494065,2847.004992794322,20,4195.431836323747,0,0
3434.970470990082,3404.689314527928,2605.2933232306095,20,4198.432235785072,0,0
3381.452719062012,3657.798558369922,2790.6318761823013,12,4188.858007153618,0,0
3435.740489240299,3283.628280458198,2758.163765472547,12,4161.963671145404,0,0
3491.307502882844,3631.994020539767,2706.7177710175947,58,4301.643723969507,0,0
3731.30066945232,3483.0069954535265,3426.6932112063505,12,4226.816657989409,0,0
3528.2941349802168,3652.29797156266,3300.816359713117,58,4125.16059475875,0,0
3815.847133253103,3306.841147619391,2658.4900191961233,58,4241.295567200041,0,0
3523.166866108012,3471.1662011989442,3144.216986138812,30,4277.719650871475,0,0
3314.267068598275,3592.054462323948,2949.0551842455816,58,4269.893623717379,0,0
3302.8100225193575,3757.073376515835,2688.307462878228,30,4235.001221992534,0,0
3606.841921431147,3335.064935799721,2902.8249021473785,30,4163.730692090087,0,0
3244.1799383982257,3812.756796570509,2545.956617883515,30,4289.628613102615,0,0
3515.0296445184786,3493.742297536383,2814.3161100336124,20,4085.7083706329317,0,0
3537.6349834670436,3839.472908381978,3145.744453667929,20,4241.778593719872,0,0
3291.151249061302,3473.2504421721983,2988.5136452130587,58,4142.611087132524,0,0
3441.213663480097,3547.3464174941237,2787.1660952038837,20,4359.521148379852,0,0
3835.6222077608177,3430.235035942039,2751.4822814299023,58,4223.775989681601,0,0
3224.1649666231065,3187.9707860892945,2715.8065859353087,58,4078.3889122697346,0,0
3558.522333685029,3649.791493549298,3208.949816371291,85,4265.123781205775,0,0
3266.9344164419904,3383.1143343875738,3130.785095303839,75,4035.7017544563173,0,0
3209.967125198755,3793.521354810852,2909.1398679638246,58,4387.609556369626,0,0
3009.248935034006,3627.9687178557824,3016.938246597322,85,4416.640912432256,0,0
3352.198108595013,3486.1729298475348,2946.8607558757662,58,4005.4237445580748,0,0
